,MEHP950101,KOSJ950113,KOSJ950110,OVEJ920103,DAYM780302,MUET010101,LUTR910102,DOSZ010104,FEND850101,LUTR910107,KOSJ950104,OVEJ920105,LUTR910108,GONG920101,ALTS910101,PRLA000101,NGPC000101,PRLA000102,BENS940102,GRAR740104,RUSR970103,KOSJ950115,TUDE900101,FITW660101,LUTR910106,KOSJ950112,OGAK980101,NIEK910101,JOHM930101,AZAE970102,LUTR910101,GEOD900101,AZAE970101,LUTR910105,MOHR870101,BENS940104,KOSJ950105,BENS940101,KOSJ950107,MEHP950102,NAOD960101,DAYM780301,MEHP950103,KAPO950101,LEVJ860101,BENS940103,KOSJ950106,MCLA720101,HENS920104,RUSR970102,RIER950101,KOSJ950109,MUET020102,VOGG950101,NIEK910102,OVEJ920101,MCLA710101,MIYT790101,DOSZ010102,OVEJ920102,CSEM940101,LINK010101,RUSR970101,LUTR910103,HENS920102,HENS920101,JOND920103,LUTR910109,KOSJ950108,WEIL970101,MIYS930101,KANM000101,JOND940101,QUIB020101,DOSZ010103,RISJ880101,BLAJ010101,CROG050101,KOSJ950103,MUET020101,KOSJ950101,KOSJ950102,KOSJ950111,OVEJ920104,KOLA920101,HENS920103,LUTR910104,WEIL970102,GIAG010101,DOSZ010101,KOSJ950114
D-W,0.87,0.0,0.0,0.006,-13.0,-6.5,-16.0,-4.19,0.0,-13.0,0.1,0.0,-35.0,-5.2,-8.0,-1.91,-7.0,-5.63,-6.4,181.0,-5.0,0.0,-20.0,3.0,-24.0,0.0,-9.8,-0.19,-6.0,-4.0,-10.0,1.0,-5.0,-40.0,6.0,-2.9,0.1,-6.3,0.1,1.04,-4.0,-7.0,1.24,9.08,-1.0,-5.5,0.1,0.0,-10.0,-5.0,31.0,0.2,-5.0,0.0,-0.22,-6.0,0.0,4.88,-8.82,0.012,-0.41,0.002,-4.0,-12.0,-6.0,-4.0,-5.0,-32.0,0.1,-3.0,-0.64,-40.0,-4.0,-5.7,-3.4,-1.4,-7.0,-4.0,0.1,-7.0,0.1,0.1,0.0,0.013999999999999999,0.0,-8.0,-55.0,1.0,-0.2,4.6,0.2
D-Y,0.73,0.4,0.5,0.012,-10.0,-5.5,0.0,-3.58,2.0,-7.0,1.1,0.006,-12.0,-2.8,-5.0,-1.21,-4.0,-3.85,-3.0,160.0,-1.0,0.5,-22.0,1.0,7.0,1.1,-7.2,-0.19,-3.8,-5.0,-10.0,3.0,-4.0,-13.0,7.0,2.3,0.8,-2.3,0.9,1.12,-3.0,-4.0,1.46,14.9,-1.0,-2.8,0.1,0.0,-6.0,-2.0,38.0,0.3,-3.0,2.4,-0.22,-3.0,1.0,3.95,-7.82,0.011000000000000001,-0.34,0.011000000000000001,0.0,-14.0,-5.0,-2.0,-2.0,-5.0,1.8,-3.0,0.09,-20.0,-2.0,-2.9,-1.4,-0.4,-6.0,-3.0,0.2,-5.0,0.1,0.8,0.3,0.023,0.0,-6.0,-8.0,0.0,-0.1,8.0,1.0
E-A,1.34,4.3,1.3,0.018000000000000002,-2.0,-7.0,7.0,-1.02,4.0,3.0,5.1,0.006999999999999999,0.0,0.0,0.0,-0.12,-5.0,-0.47,-0.3,107.0,1.0,3.2,12.0,1.0,8.0,3.3,-6.7,0.7,-0.7,1.0,3.0,5.0,2.0,-3.0,10.0,1.3,1.4,-0.7,2.2,0.63,0.0,0.0,0.96,18.1,1.0,-0.1,0.9,0.0,-2.0,0.0,39.0,4.0,0.0,5.2,0.74,0.0,4.0,2.46,-4.66,0.044000000000000004,0.08,0.055999999999999994,2.0,-2.0,-1.0,-1.0,-1.0,0.0,1.4,-3.0,0.03,-10.0,0.0,1.2,3.0,1.7,0.0,-1.0,3.8,-1.0,5.3,1.5,3.8,0.052000000000000005,9.0,-2.0,4.0,-2.0,5.7,5.3,4.0
E-C,1.43,0.2,0.1,0.016,-12.0,-7.0,-16.0,-3.78,0.0,-15.0,0.1,0.009000000000000001,-5.0,-3.0,-7.0,-1.97,-7.0,-4.7,-4.3,170.0,-8.0,0.3,-18.0,3.0,-1.0,0.4,-10.2,-0.34,-6.9,-6.0,-12.0,5.0,-8.0,-30.0,9.0,-3.0,0.2,-4.7,0.1,0.69,-6.0,-5.0,0.57,12.2,0.0,-3.2,0.1,0.0,-6.0,-4.0,36.0,0.4,-3.0,2.2,-0.36,-3.0,0.0,3.26,-11.62,0.011000000000000001,-0.51,0.0,-8.0,-3.0,-5.0,-3.0,-4.0,-21.0,0.1,-2.0,-0.64,-39.0,-3.0,-2.4,-0.6,-1.5,-20.0,-4.0,0.1,-5.0,0.1,0.1,0.3,0.028999999999999998,0.0,-7.0,-2.0,2.0,0.3,21.3,0.4
E-D,1.31,6.7,5.6,0.054000000000000006,3.0,2.0,12.0,3.37,5.0,8.0,4.3,0.011000000000000001,10.0,2.7,3.0,1.2,6.0,2.41,3.9,45.0,4.0,5.8,34.0,1.0,29.0,3.4,-6.4,0.07,2.4,10.0,6.0,10.0,15.0,10.0,11.0,3.8,1.5,4.4,9.3,0.58,7.0,3.0,1.17,22.8,1.0,2.9,4.4,2.0,4.0,5.0,94.0,6.6,3.0,7.9,0.09,2.0,5.0,0.9,4.09,0.111,0.37,0.091,6.0,6.0,2.0,2.0,4.0,17.0,0.8,0.0,0.32,20.0,8.0,3.2,2.4,1.0,5.0,1.0,7.0,3.0,8.6,8.4,7.4,0.079,0.0,2.0,20.0,-2.0,2.7,-3.7,2.5
E-F,0.91,0.3,0.1,0.004,-12.0,-5.5,-30.0,-3.79,0.0,-22.0,0.1,0.004,-28.0,-3.9,-6.0,-1.61,-5.0,-4.44,-5.7,140.0,-5.0,0.1,-40.0,3.0,-7.0,0.0,-8.2,-0.24,-6.4,-7.0,-18.0,2.0,-7.0,-12.0,6.0,-2.9,0.1,-6.7,0.1,1.17,-6.0,-5.0,0.85,9.24,-1.0,-4.3,0.4,0.0,-6.0,-5.0,26.0,0.1,-4.0,1.3,-0.27,-4.0,0.0,3.59,-8.51,0.011000000000000001,-0.5,0.004,-4.0,-24.0,-5.0,-3.0,-5.0,-13.0,0.1,-4.0,-0.81,-32.0,-6.0,-13.7,-0.4,0.6,-10.0,-4.0,0.4,-6.0,0.2,0.1,0.3,0.016,0.0,-6.0,-21.0,-1.0,-0.1,7.4,0.0
E-G,1.06,1.1,1.3,0.015,-3.0,-6.5,8.0,-2.17,4.0,-4.0,1.4,0.008,3.0,-0.8,-1.0,-0.41,-3.0,-1.8,0.5,98.0,1.0,1.2,-5.0,1.0,13.0,1.2,-7.4,-0.45,-2.5,0.0,-6.0,6.0,1.0,4.0,6.0,1.4,1.3,0.5,0.3,0.87,0.0,0.0,1.15,19.3,0.0,-0.5,2.3,0.0,-6.0,-1.0,43.0,1.4,-1.0,4.4,-0.46,-2.0,3.0,2.78,-0.89,0.048,-0.23,0.021,3.0,1.0,-3.0,-2.0,0.0,6.0,2.2,-2.0,0.13,-23.0,3.0,0.5,-1.9,0.3,0.0,-2.0,1.1,-2.0,1.5,0.6,0.9,0.027999999999999997,0.0,-4.0,8.0,0.0,0.0,-7.7,1.8
E-H,1.23,1.1,0.8,0.021,-4.0,-3.0,-3.0,-0.47,2.0,-2.0,0.7,0.0,1.0,0.4,-1.0,-0.62,-1.0,-1.29,-0.2,40.0,-1.0,0.9,-8.0,2.0,16.0,0.8,-7.8,-0.14,-2.3,1.0,-3.0,5.0,4.0,-5.0,11.0,0.3,0.1,-0.2,0.1,0.78,2.0,1.0,0.91,15.7,0.0,0.2,0.1,0.0,0.0,3.0,68.0,0.8,0.0,5.6,-0.14,-2.0,2.0,0.96,-2.27,0.026000000000000002,-0.19,0.01,-11.0,-1.0,0.0,0.0,0.0,5.0,1.8,-1.0,0.13,2.0,2.0,0.3,1.6,-0.6,0.0,-1.0,1.5,-1.0,1.0,1.1,1.2,0.026000000000000002,0.0,0.0,-3.0,-1.0,-0.4,-1.8,0.5
E-I,0.96,0.6,0.4,0.012,-5.0,-7.0,-5.0,-4.95,1.0,-5.0,0.5,0.005,-10.0,-2.7,-3.0,-1.81,-5.0,-5.89,-3.6,134.0,-3.0,0.4,-36.0,3.0,-18.0,0.2,-8.3,-0.14,-4.8,-10.0,-3.0,3.0,-11.0,-7.0,4.0,-2.3,1.1,-4.1,0.1,1.15,-9.0,-2.0,0.74,14.9,-1.0,-2.9,0.1,0.0,-8.0,-3.0,29.0,0.4,-3.0,2.5,-0.13,-3.0,1.0,3.39,-10.89,0.011000000000000001,-0.51,0.009000000000000001,-4.0,-10.0,-5.0,-3.0,-3.0,-13.0,0.1,-4.0,-0.86,-33.0,-4.0,-3.1,-0.3,1.5,-8.0,-4.0,1.1,-5.0,0.3,0.5,0.8,0.026000000000000002,0.0,-6.0,-2.0,-1.0,0.5,8.7,0.1
E-K,1.22,4.2,3.1,0.071,-4.0,-7.5,13.0,2.26,4.0,5.0,1.1,0.0,3.0,1.2,-1.0,1.11,-4.0,3.08,1.0,56.0,3.0,4.0,24.0,1.0,10.0,1.2,-6.7,0.5,1.1,13.0,3.0,9.0,17.0,2.0,11.0,2.0,2.5,0.9,3.4,0.78,9.0,0.0,0.93,19.2,0.0,1.2,1.7,0.0,2.0,4.0,96.0,4.8,1.0,6.4,0.58,1.0,4.0,1.14,0.49,0.059000000000000004,0.54,0.065,2.0,-4.0,1.0,1.0,1.0,10.0,2.4,-1.0,0.25,14.0,1.0,1.2,2.3,1.4,6.0,1.0,4.5,1.0,5.8,4.2,4.7,0.053,9.0,1.0,14.0,-2.0,-1.7,-9.1,1.6
E-L,1.01,1.0,0.7,0.009000000000000001,-8.0,-7.0,-14.0,-3.65,1.0,-8.0,0.6,0.003,-18.0,-2.8,-4.0,-2.11,-5.0,-5.62,-4.4,138.0,0.0,1.1,-40.0,2.0,-21.0,0.5,-7.4,0.57,-5.6,-7.0,-4.0,3.0,-8.0,-13.0,7.0,-2.5,2.8,-5.0,0.1,1.12,-6.0,-3.0,0.69,11.4,-1.0,-3.1,0.7,0.0,-6.0,-2.0,31.0,1.1,-3.0,2.4,0.62,-4.0,1.0,3.53,-9.31,0.013000000000000001,-0.45,0.015,-1.0,-16.0,-4.0,-2.0,-4.0,-14.0,0.1,-3.0,-0.8,-31.0,-5.0,-1.5,1.0,0.9,-8.0,-4.0,1.7,-4.0,0.9,0.7,1.2,0.019,5.0,-6.0,-10.0,0.0,-0.4,7.4,2.5
E-M,1.02,0.5,0.2,0.037000000000000005,-6.0,-6.0,-12.0,-2.97,1.0,-7.0,0.1,0.009000000000000001,-7.0,-2.0,-4.0,-1.86,-5.0,-3.94,-3.4,126.0,-1.0,0.2,-17.0,2.0,5.0,0.1,-8.1,0.36,-2.8,0.0,-4.0,4.0,1.0,-5.0,8.0,-1.8,0.1,-4.1,0.1,0.96,-2.0,-2.0,1.02,15.2,-1.0,-2.2,0.1,0.0,-4.0,-3.0,27.0,0.3,-2.0,3.2,0.38,-2.0,1.0,3.13,-7.69,0.009000000000000001,-0.14,0.008,-3.0,-5.0,-3.0,-2.0,-3.0,-3.0,0.1,-1.0,-0.87,-21.0,-3.0,-2.0,1.1,0.6,-6.0,-3.0,0.4,-3.0,0.1,0.1,0.3,0.031,0.0,-4.0,-3.0,1.0,0.4,6.7,0.3
E-N,1.21,1.3,1.4,0.039,-1.0,-4.5,8.0,0.6,3.0,3.0,0.5,0.036000000000000004,5.0,0.9,1.0,-0.16,0.0,-0.39,1.2,42.0,0.0,1.4,13.0,2.0,22.0,0.7,-6.5,-0.24,-0.7,8.0,2.0,6.0,10.0,0.0,10.0,0.3,0.2,1.1,1.4,0.74,6.0,1.0,1.04,20.0,0.0,1.0,1.0,1.0,0.0,0.0,79.0,1.5,1.0,6.1,-0.27,0.0,4.0,0.85,1.4,0.068,0.13,0.026000000000000002,2.0,1.0,0.0,0.0,1.0,8.0,0.1,0.0,0.19,3.0,1.0,2.3,0.8,1.4,1.0,0.0,1.1,0.0,1.5,1.7,1.3,0.038,0.0,-1.0,5.0,0.0,1.9,-4.5,0.6
E-P,0.96,1.4,0.5,0.027999999999999997,-5.0,-7.0,-7.0,0.06,3.0,-3.0,0.1,0.0,6.0,-0.5,-1.0,-0.26,-5.0,-0.43,-1.7,93.0,1.0,1.2,-7.0,2.0,-19.0,0.4,-7.8,-0.08,-1.5,0.0,-3.0,4.0,5.0,-10.0,5.0,-2.1,0.1,-2.6,3.0,0.75,0.0,-1.0,1.71,19.1,-1.0,-0.7,0.1,0.0,-2.0,2.0,50.0,1.1,0.0,4.7,0.07,-1.0,4.0,2.48,-1.29,0.069,-0.11,0.018000000000000002,1.0,-1.0,-2.0,0.0,-2.0,-13.0,1.1,-1.0,-0.13,-7.0,-3.0,0.0,-0.2,-0.1,-1.0,-1.0,1.7,-1.0,1.6,0.6,2.0,0.037000000000000005,0.0,-2.0,4.0,0.0,-0.7,-7.9,0.5
E-Q,1.26,4.5,2.2,0.055999999999999994,2.0,-2.5,9.0,2.32,4.0,6.0,3.0,0.064,7.0,1.7,2.0,1.23,1.0,3.16,1.7,29.0,4.0,4.3,37.0,1.0,15.0,2.9,-6.8,0.39,2.4,13.0,5.0,6.0,17.0,6.0,11.0,2.0,4.4,2.1,3.8,0.73,8.0,2.0,0.96,20.4,1.0,1.7,2.3,3.0,4.0,2.0,74.0,6.0,2.0,6.9,0.42,2.0,5.0,0.84,0.74,0.086,0.51,0.07200000000000001,6.0,3.0,3.0,2.0,2.0,11.0,3.6,0.0,0.25,19.0,7.0,1.7,4.1,2.1,5.0,1.0,3.5,2.0,4.9,2.0,4.1,0.071,6.6,3.0,7.0,-2.0,1.5,-5.8,3.8
E-R,1.15,0.9,0.8,0.053,-8.0,-9.0,8.0,0.98,2.0,3.0,0.5,0.015,4.0,0.4,-3.0,0.99,-6.0,2.83,-0.1,54.0,2.0,1.0,11.0,2.0,-1.0,1.0,-7.5,0.09,-0.2,10.0,2.0,9.0,13.0,-1.0,9.0,-2.0,0.1,-0.4,0.1,0.82,8.0,-1.0,1.02,18.7,0.0,0.3,1.2,0.0,0.0,2.0,74.0,1.1,0.0,5.6,0.11,0.0,3.0,1.45,-0.6,0.053,0.34,0.028999999999999998,2.0,-1.0,0.0,0.0,0.0,2.0,2.8,-1.0,-0.02,3.0,2.0,1.9,2.2,1.9,3.0,0.0,1.0,-1.0,1.0,0.6,1.0,0.049,6.6,-1.0,12.0,-1.0,-0.9,-5.3,1.8
E-S,1.02,2.5,2.6,0.018000000000000002,-4.0,-5.0,9.0,-0.76,3.0,3.0,1.6,0.009000000000000001,4.0,0.2,-1.0,0.31,-3.0,0.42,-0.5,80.0,2.0,2.2,-10.0,2.0,13.0,1.3,-6.6,-0.41,-2.2,3.0,2.0,7.0,6.0,-3.0,9.0,-2.8,0.7,-1.2,1.2,0.92,3.0,0.0,1.13,17.7,0.0,0.1,0.2,0.0,-2.0,1.0,45.0,2.2,0.0,5.4,-0.43,-1.0,4.0,2.06,-1.0,0.033,-0.17,0.028999999999999998,2.0,1.0,0.0,0.0,-1.0,5.0,0.1,-2.0,-0.19,-1.0,0.0,1.1,0.4,1.8,0.0,-1.0,3.3,0.0,2.1,3.3,2.9,0.031,0.0,-1.0,5.0,-2.0,2.7,-2.3,2.5
E-T,0.94,1.8,1.0,0.036000000000000004,-5.0,-6.5,10.0,-1.28,3.0,2.0,0.9,0.001,2.0,-0.1,-2.0,-0.21,-5.0,-0.61,-0.9,65.0,1.0,1.3,-12.0,2.0,9.0,0.7,-6.8,-0.5,-0.5,1.0,1.0,5.0,3.0,0.0,8.0,-2.1,0.1,-1.6,3.2,1.11,3.0,0.0,0.89,18.8,0.0,-0.2,0.1,0.0,-2.0,0.0,41.0,1.7,0.0,5.1,-0.54,0.0,4.0,1.83,-1.81,0.045,-0.27,0.036000000000000004,2.0,0.0,-1.0,-1.0,-1.0,4.0,0.1,-1.0,-0.09,-6.0,-1.0,1.6,0.7,1.6,3.0,-1.0,1.0,-1.0,2.4,1.5,1.5,0.044000000000000004,0.0,-2.0,4.0,0.0,2.2,-5.8,1.0
E-V,1.04,1.3,1.8,0.018000000000000002,-6.0,-6.5,-4.0,-4.26,4.0,-3.0,1.0,0.006,-8.0,-1.9,-3.0,-1.84,-5.0,-4.23,-2.7,121.0,-2.0,1.2,-20.0,1.0,-24.0,0.6,-7.3,-0.09,-4.2,-11.0,-2.0,4.0,-12.0,-8.0,4.0,1.3,0.6,-3.0,1.5,1.08,-9.0,-2.0,0.71,15.1,-1.0,-2.1,2.3,0.0,-6.0,-2.0,33.0,0.9,-2.0,3.3,-0.09,-2.0,2.0,2.97,-10.31,0.017,-0.44,0.021,-3.0,-6.0,-4.0,-3.0,-2.0,-12.0,0.1,-4.0,-0.42,-28.0,-2.0,-1.3,0.2,1.6,-6.0,-4.0,1.0,-3.0,1.1,2.0,1.0,0.034,0.0,-4.0,-3.0,-2.0,-0.1,10.8,2.5
E-W,0.86,0.2,0.3,0.002,-15.0,-6.0,-18.0,-3.04,1.0,-17.0,0.1,0.0,-38.0,-4.3,-8.0,-2.7,-7.0,-6.28,-6.3,152.0,-3.0,0.2,-10.0,2.0,-19.0,0.0,-7.9,-0.12,-7.6,-5.0,-14.0,1.0,-6.0,-35.0,7.0,-3.2,0.1,-5.6,0.1,1.33,-3.0,-7.0,0.61,15.3,-1.0,-4.7,0.1,0.0,-6.0,-2.0,37.0,0.1,-5.0,0.9,-0.12,-6.0,1.0,4.08,-7.23,0.012,-0.22,0.0,-1.0,-16.0,-4.0,-3.0,-5.0,-29.0,0.1,-2.0,-0.66,-29.0,-3.0,-4.7,-1.0,-1.0,-3.0,-3.0,0.4,-7.0,0.2,0.4,0.2,0.01,0.0,-6.0,-40.0,1.0,-0.2,6.8,0.0
E-Y,0.76,0.1,0.2,0.015,-8.0,-5.5,-3.0,-3.19,1.0,-9.0,0.1,0.001,-16.0,-2.7,-4.0,-1.64,-2.0,-4.5,-4.0,122.0,-1.0,0.1,-28.0,2.0,14.0,0.3,-7.5,-0.57,-3.7,-1.0,-10.0,3.0,-1.0,-13.0,6.0,-0.9,0.6,-4.1,0.1,1.31,-2.0,-4.0,0.91,12.7,-1.0,-3.0,1.0,0.0,-4.0,-1.0,44.0,0.2,-2.0,2.5,-0.62,-2.0,2.0,3.22,-7.74,0.018000000000000002,-0.32,0.016,-2.0,-21.0,-3.0,-2.0,-4.0,-3.0,0.9,-4.0,-0.11,-21.0,-5.0,-2.2,0.2,0.2,-5.0,-3.0,0.3,-3.0,0.1,0.1,0.2,0.027000000000000003,0.0,-5.0,-8.0,-2.0,-0.1,8.7,1.3
F-A,0.94,0.6,0.1,0.02,-7.0,0.0,-24.0,-2.29,2.0,-16.0,0.3,0.022000000000000002,-23.0,-2.3,-4.0,-0.76,-1.0,-2.42,-3.1,113.0,0.0,0.3,-8.0,2.0,-12.0,0.2,-7.9,-0.18,-3.2,-2.0,-13.0,7.0,-4.0,-4.0,10.0,-2.4,0.4,-3.2,0.3,1.16,-1.0,-4.0,0.79,11.9,-1.0,-2.6,0.2,0.0,-6.0,0.0,87.0,1.1,-2.0,2.9,-0.19,-3.0,1.0,3.23,-3.42,0.017,-0.25,0.027000000000000003,-1.0,-20.0,-3.0,-2.0,-3.0,-9.0,0.1,0.0,-0.47,-19.0,-2.0,-1.6,1.8,0.6,-1.0,-2.0,0.1,-3.0,1.7,0.1,0.0,0.01,0.0,-4.0,-18.0,2.0,0.2,11.4,0.2
F-C,1.16,0.5,0.6,0.022000000000000002,-11.0,2.5,-36.0,0.64,3.0,-19.0,0.1,0.013999999999999999,-4.0,-0.8,-6.0,1.13,0.0,1.72,-0.1,205.0,3.0,0.4,11.0,1.0,-40.0,0.2,-8.9,-0.05,-4.4,3.0,-12.0,8.0,2.0,12.0,10.0,1.8,0.1,-0.1,0.1,1.04,3.0,-4.0,0.46,13.5,-1.0,-0.7,0.3,0.0,-4.0,3.0,89.0,0.3,-2.0,4.4,-0.07,-2.0,0.0,2.24,1.34,0.0,0.3,0.003,-1.0,4.0,-4.0,-2.0,0.0,-31.0,0.1,0.0,0.39,-18.0,1.0,-0.8,3.8,-1.6,-12.0,-2.0,0.4,-4.0,1.0,0.1,0.6,0.028999999999999998,5.0,-4.0,-12.0,2.0,0.0,39.2,0.3
F-D,0.79,0.2,0.1,0.013000000000000001,-13.0,-5.5,-25.0,-5.31,1.0,-20.0,0.1,0.004,-24.0,-4.5,-7.0,-2.19,-5.0,-5.06,-5.4,177.0,-4.0,0.2,-31.0,2.0,-24.0,0.0,-9.5,-0.31,-7.0,-9.0,-15.0,2.0,-10.0,-17.0,4.0,-1.7,0.3,-5.7,0.1,1.17,-6.0,-6.0,1.17,9.04,-1.0,-4.7,0.1,0.0,-10.0,-6.0,19.0,0.3,-5.0,0.7,-0.35,-5.0,1.0,4.27,-8.93,0.005,-0.4,0.01,-3.0,-18.0,-5.0,-4.0,-5.0,-21.0,0.1,-4.0,-0.62,-33.0,-6.0,-3.7,-6.3,-0.3,-6.0,-5.0,0.1,-7.0,0.5,0.1,0.0,0.006,0.0,-6.0,-26.0,-1.0,0.1,-11.9,0.1
F-E,0.91,0.2,0.0,0.005,-12.0,-5.5,-30.0,-4.31,0.0,-22.0,0.1,0.011000000000000001,-28.0,-3.9,-6.0,-1.61,-5.0,-4.44,-5.7,140.0,-5.0,0.2,-40.0,3.0,-7.0,0.0,-8.2,-0.24,-6.4,-7.0,-18.0,2.0,-7.0,-12.0,6.0,-2.9,0.2,-6.7,0.1,1.17,-6.0,-5.0,0.85,9.24,-1.0,-4.3,0.1,0.0,-6.0,-5.0,26.0,0.3,-4.0,1.3,-0.27,-4.0,0.0,3.59,-8.01,0.006999999999999999,-0.5,0.001,-4.0,-24.0,-5.0,-3.0,-5.0,-13.0,0.1,-4.0,-0.81,-32.0,-6.0,-13.7,-4.3,0.6,-10.0,-4.0,0.1,-6.0,0.5,0.1,0.1,0.008,0.0,-6.0,-21.0,-1.0,0.1,-12.5,0.0
F-G,0.68,0.1,0.6,0.008,-8.0,-1.0,-52.0,-2.9,1.0,-30.0,0.1,0.006,-26.0,-5.2,-5.0,-2.67,-2.0,-7.46,-5.8,153.0,-3.0,0.3,-12.0,2.0,-17.0,0.3,-8.1,-0.05,-8.6,-3.0,-24.0,6.0,-4.0,-10.0,7.0,-1.9,0.2,-5.7,0.1,1.3,-3.0,-5.0,1.16,9.84,-1.0,-5.4,0.3,0.0,-8.0,-6.0,83.0,0.1,-4.0,0.0,-0.05,-6.0,0.0,4.14,-7.42,0.004,-0.09,0.01,-1.0,-21.0,-5.0,-3.0,-5.0,-15.0,0.5,-2.0,-0.52,-32.0,-4.0,-4.7,-2.6,-0.4,-8.0,-5.0,0.1,-6.0,0.1,1.0,0.1,0.004,0.0,-6.0,-25.0,1.0,0.5,-9.4,0.4
F-H,0.94,0.5,0.4,0.021,-5.0,-1.0,-10.0,-0.99,2.0,-9.0,0.1,0.015,-13.0,-0.1,-2.0,-0.22,-2.0,0.25,0.3,100.0,0.0,0.4,-10.0,2.0,6.0,0.4,-8.2,0.17,-1.7,-1.0,-6.0,7.0,-1.0,-3.0,9.0,-1.1,0.4,0.1,0.8,1.05,-2.0,-2.0,1.05,10.7,-1.0,0.0,0.4,2.0,-2.0,0.0,58.0,0.4,0.0,5.1,0.2,-2.0,4.0,2.63,-4.96,0.009000000000000001,-0.06,0.011000000000000001,0.0,-9.0,-2.0,-2.0,0.0,3.0,0.5,0.0,-0.43,-8.0,-3.0,-0.9,1.1,-1.1,-1.0,-1.0,0.1,0.0,0.1,1.1,0.8,0.023,5.0,-2.0,-7.0,1.0,0.5,0.4,0.5
F-I,0.74,1.7,2.4,0.049,-2.0,1.5,-4.0,2.42,4.0,5.0,1.4,0.045,3.0,1.0,0.0,0.76,0.0,2.3,0.5,21.0,4.0,1.4,32.0,1.0,-10.0,1.2,-7.2,0.27,0.5,7.0,7.0,9.0,6.0,7.0,12.0,1.3,0.5,0.0,0.7,1.54,6.0,1.0,0.42,18.4,1.0,0.9,2.4,1.0,0.0,4.0,96.0,0.5,1.0,6.2,0.32,1.0,3.0,0.61,2.74,0.039,0.6,0.009000000000000001,5.0,10.0,0.0,0.0,0.0,-3.0,1.1,0.0,0.45,8.0,-1.0,2.2,7.0,1.0,3.0,0.0,0.6,0.0,0.7,2.1,0.6,0.046,0.0,-1.0,-4.0,0.0,0.2,27.2,1.5
F-K,0.78,0.7,0.2,0.017,-12.0,-5.5,-30.0,-5.13,0.0,-29.0,0.7,0.0,-34.0,-3.3,-6.0,-2.41,-7.0,-6.19,-5.1,102.0,-1.0,0.1,-26.0,3.0,-14.0,0.1,-8.8,-0.16,-5.6,-10.0,-26.0,1.0,-11.0,-11.0,6.0,-2.8,0.1,-6.3,0.3,1.11,-7.0,-5.0,1.33,9.68,-1.0,-3.6,0.2,0.0,-8.0,-4.0,22.0,0.0,-3.0,1.9,-0.18,-3.0,0.0,2.85,-7.53,0.025,-0.41,0.011000000000000001,0.0,-30.0,-5.0,-3.0,-5.0,-14.0,0.1,-2.0,-1.03,-29.0,-5.0,-2.8,-5.1,0.1,-8.0,-4.0,0.9,-5.0,0.1,0.1,0.6,0.011000000000000001,5.0,-5.0,-23.0,1.0,0.7,-12.2,0.1
F-L,0.9,2.8,2.9,0.046,-2.0,2.5,2.0,2.96,4.0,10.0,2.5,0.075,4.0,2.0,0.0,1.23,1.0,3.9,2.2,22.0,4.0,3.7,36.0,1.0,-4.0,3.6,-6.6,-0.08,1.8,6.0,11.0,9.0,5.0,6.0,11.0,2.2,6.5,2.4,2.7,1.27,6.0,2.0,0.63,20.6,0.0,2.1,3.0,2.0,2.0,4.0,94.0,5.5,2.0,7.2,-0.08,2.0,5.0,0.63,1.57,0.09699999999999999,0.44,0.08800000000000001,3.0,12.0,1.0,1.0,2.0,1.0,4.1,1.0,0.48,17.0,1.0,3.7,7.6,1.0,3.0,1.0,3.5,2.0,1.5,1.9,3.1,0.047,5.0,0.0,-4.0,1.0,1.0,23.2,4.7
F-M,0.91,0.6,1.4,0.023,-3.0,2.5,2.0,0.69,2.0,11.0,0.1,0.036000000000000004,8.0,1.6,-1.0,0.8,0.0,2.66,0.7,28.0,0.0,0.9,20.0,2.0,-2.0,0.6,-8.5,-0.02,-0.6,3.0,13.0,8.0,2.0,2.0,10.0,0.5,0.5,-0.1,1.1,1.21,3.0,0.0,0.74,20.2,0.0,1.3,1.1,2.0,0.0,4.0,98.0,0.6,1.0,6.8,-0.01,0.0,5.0,0.82,-0.35,0.042,0.22,0.015,0.0,13.0,0.0,0.0,0.0,-1.0,0.7,2.0,0.35,2.0,0.0,1.7,4.8,-0.2,0.0,1.0,0.7,1.0,0.4,2.1,0.9,0.032,6.6,0.0,1.0,2.0,-0.3,18.9,1.0
F-N,0.83,0.5,0.2,0.006,-8.0,-2.0,-19.0,-4.59,1.0,-14.0,0.8,0.006,-22.0,-3.1,-4.0,-2.25,-1.0,-6.22,-3.5,158.0,1.0,0.4,-23.0,2.0,-6.0,0.2,-8.2,-0.13,-3.8,-9.0,-11.0,6.0,-9.0,-8.0,6.0,-1.3,0.1,-3.5,0.5,1.11,-6.0,-4.0,1.19,11.4,-1.0,-3.2,0.1,0.0,-8.0,-1.0,47.0,0.3,-3.0,2.1,-0.12,-3.0,0.0,3.7,-8.26,0.013000000000000001,-0.33,0.004,1.0,-18.0,-4.0,-2.0,-3.0,-9.0,0.1,-1.0,-0.71,-29.0,-4.0,-2.5,-4.4,0.4,-3.0,-4.0,0.7,-5.0,0.3,0.6,0.9,0.012,0.0,-6.0,-15.0,2.0,0.4,-9.3,0.1
